,species,mass,Molecular_weight,GC_content
0,Aptenodytes forsteri,28.0,42459.602100000004,48.38145231846019
1,Aptenodytes patagonicus,13.4,42563.70669999999,49.69378827646544
2,Eudyptes chrysocome,2.8,42475.5753,51.181102362204726
3,Eudyptes chrysolophus,4.5,42445.54929999999,50.91863517060367
4,Eudyptes sclateri,4.25,42475.5753,50.83114610673666
5,Eudyptula minor,1.6,42491.64080000001,49.25634295713036
6,Pygoscelis adeliae,4.6,42458.61400000001,49.08136482939633
7,Pygoscelis antarctica,4.1,42404.54230000001,47.76902887139108
8,Pygoscelis papua,6.1,42595.87590000001,47.15660542432196
9,Spheniscus demersus,3.2,42431.54900000002,48.29396325459317
10,Spheniscus humboldti,4.75,42399.55200000001,49.25634295713036
11,Spheniscus magellanicus,3.4,42459.60210000002,48.20647419072616
